ra_1	dec_1	cz	ecz	u	g	r	i	zm	mur	mem	dist	gl	gb	foo	rf	gr	rp
195.54287	28.19183	005737	003	18.393	16.168	15.360	15.016	14.896		1	00.528	57.65907	87.39625				
194.40497	28.04038	006430	011	21.208	17.457	16.773	16.554	16.290		1	00.531	66.94665	88.35432				
195.51809	27.69956	007007	007	19.297	17.709	17.092	16.780	16.600		1	00.531	47.14969	87.57184				
194.61838	27.55939	007573	002	17.469	16.054	15.507	15.232	15.027		1	00.531	48.76165	88.37925				
195.60430	27.97227	008220	021	20.565	18.417	17.698	17.457	17.198		1	00.533	52.69098	87.42431				
194.47138	27.70732	006449	008	18.622	17.419	16.689	16.356	16.251		1	00.536	55.33513	88.45645				
194.84648	28.48860	006998	003	17.356	16.204	15.765	15.522	15.384		1	00.537	71.13240	87.77759				
194.44233	27.75704	006130	003	17.055	15.501	14.773	14.417	14.169		1	00.537	57.40950	88.46098				
194.40185	28.07704	006741	005	18.439	16.450	15.714	15.375	15.178		1	00.539	68.05409	88.33618				
195.45158	27.60397	008230	002	17.762	16.131	15.381	15.021	14.824		1	00.541	45.20181	87.64940				
194.92211	28.50720	008238	004	17.485	15.921	15.222	14.892	14.817		1	00.542	70.49500	87.71328				
195.47388	27.62445	007857	002	15.496	13.636	12.826	12.404	12.139		1	00.542	45.59542	87.62602				
195.55329	28.21484	008187	002	16.478	15.387	14.993	14.776	14.621		1	00.546	58.04053	87.37860				
195.50433	27.65298	007089	002	17.509	15.885	15.167	14.820	14.574		1	00.546	46.13385	87.59381				
194.73376	28.46363	005912	004	17.339	15.924	15.488	15.251	15.176		1	00.547	72.21414	87.87116				
194.38015	28.01843	007049	015	19.149	17.875	17.263	16.880	16.686		1	00.550	66.72263	88.38467				
194.83460	27.43524	007695	015	19.064	18.334	17.568	17.254	16.784		1	00.554	43.30328	88.21797				
195.63283	27.93554	006620	004	18.146	16.775	16.072	15.728	15.498		1	00.559	51.74263	87.41169				
195.41887	27.54894	006498	021	19.841	18.188	17.492	17.281	17.220		1	00.560	44.00129	87.68793				
195.36122	28.43589	005762	006	18.898	17.190	16.453	16.156	15.973		1	00.564	64.08491	87.42934				
195.64496	27.94912	005780	003	17.312	15.677	14.956	14.614	14.382		1	00.569	51.95675	87.39737				
195.53284	27.64831	006898	002	16.204	14.918	14.365	14.096	13.890		1	00.570	45.90248	87.57006				
194.52845	27.57688	007496	005	18.369	17.052	16.304	15.937	15.755		1	00.573	50.15224	88.45125				
194.46068	27.64375	006810	008	19.206	17.722	17.006	16.712	16.469		1	00.578	53.22861	88.48770				
194.52432	28.37096	007629	005	17.920	16.625	16.016	15.739	15.615		1	00.581	73.46290	88.07258				
195.58968	28.23077	005568	002	16.751	15.122	14.373	14.005	13.743		1	00.582	58.07517	87.34284				
