ra_1	dec_1	cz	ecz	zref	sigma	esigma	d4000	ra_2	dec_2	z	ez	u	g	r	i	zm	id1	id2	id3
228.496239	+05.783765	22789	11	SDSS	34	11	1.67	228.496240	5.783770	0.076019	0.000039	20.256	18.175	17.499	17.161	17.034	00	-1	-1
228.205998	+06.311740	23478	4	SDSS	232	6	2.01	228.206000	6.311743	0.078316	0.000017	18.912	17.145	16.252	15.843	15.547	00	-1	-1
227.231979	+05.186040	22911	8	SDSS	65	9	1.64	227.231980	5.186031	0.076423	0.000028	20.635	18.392	17.493	17.190	16.917	00	-1	-1
227.262318	+05.147420	22523	6	SDSS	148	7	1.82	227.262320	5.147420	0.075129	0.000021	19.560	17.951	17.113	16.755	16.435	00	-1	-1
228.193500	+05.149633	23435	2	SDSS	63	11	1.30	228.193500	5.149626	0.078172	0.000009	18.327	17.114	16.565	16.338	16.350	00	-1	-1
228.249855	+05.198202	24234	7	SDSS	132	8	1.89	228.249860	5.198196	0.080837	0.000027	20.479	18.584	17.704	17.292	17.033	00	-1	-1
226.964650	+05.788797	24178	3	SDSS	102	12	1.53	226.964640	5.788803	0.080649	0.000012	20.628	18.370	17.476	17.002	16.721	00	-1	-1
228.466467	+05.487692	24190	4	SDSS	186	5	2.07	228.466490	5.487679	0.080691	0.000017	19.125	17.212	16.373	15.883	15.582	00	-1	-1
227.031227	+06.121935	23230	5	SDSS	78	8	1.54	227.031230	6.121937	0.077489	0.000020	20.162	18.383	17.607	17.255	16.935	00	-1	-1
227.471080	+06.479492	24125	11	SDSS	50	11	1.58	227.471080	6.479498	0.080474	0.000038	19.074	18.096	17.234	16.871	16.683	00	-1	-1
227.845433	+06.512213	22829	3	SDSS	65	12	1.34	227.845430	6.512202	0.076152	0.000012	18.379	17.304	16.775	16.518	16.387	00	-1	-1
228.262530	+06.326732	23607	3	SDSS	6	0	1.49	228.262550	6.326722	0.078746	0.000010	18.931	18.113	17.677	17.294	17.131	00	-1	-1
228.358346	+06.326972	23955	5	SDSS	128	6	1.72	228.358350	6.326953	0.079907	0.000020	19.880	17.785	17.036	16.712	16.480	00	-1	-1
227.060782	+06.205289	23643	3	SDSS	75	8	1.44	227.060790	6.205289	0.078867	0.000012	18.766	17.193	16.648	16.388	16.220	00	-1	-1
227.276683	+05.127814	22882	5	SDSS	133	5	1.79	227.276690	5.127830	0.076326	0.000018	19.451	17.860	16.976	16.588	16.348	00	-1	-1
227.602852	+04.955076	23525	23	T13	119	7	1.35	227.602850	4.955077	0.078460	0.000014	18.309	16.854	16.125	15.740	15.611	00	-1	-1
227.749684	+04.945755	23477	7	SDSS	162	8	1.16	227.749690	4.945764	0.078312	0.000027	19.596	17.838	16.953	16.554	16.271	00	-1	-1
227.888764	+04.990880	24163	5	SDSS	73	15	1.35	227.888770	4.990890	0.080601	0.000017	20.056	18.430	17.743	17.361	17.340	00	-1	-1
227.971588	+04.961970	23931	3	SDSS	94	11	1.34	227.971600	4.961980	0.079825	0.000011	19.214	17.807	17.209	16.844	16.597	00	-1	-1
228.064374	+05.047494	23341	6	SDSS	170	7	1.79	228.064380	5.047508	0.077860	0.000022	18.990	17.119	16.238	15.839	15.535	00	-1	-1
