#ra_1	dec_1	cz	ecz	zsource	ra_2	dec_2	u	g	r	i	zm	mur	gr	r50	rp	rf
#----	-----	--	---	-------	----	-----	-	-	-	-	--	---	--	---	--	--
259.871062	26.565597	0.436857	0.000132759	MMT/Hectospec	259.871075	26.565596	22.750	21.607	20.633	20.229	19.909	022.635	01.021	00.916	20.831	21.189
259.871092	26.401880	0.104777	0.00012979	MMT/Hectospec	259.871078	26.401881	19.652	17.622	16.569	16.064	15.621	021.673	01.103	03.640	16.872	18.675
259.871408	26.777783	0.431193	8.2257e-05	MMT/Hectospec	259.871408	26.777782	22.987	21.792	20.283	19.781	19.241	022.732	01.562	01.111	20.508	21.208
259.871663	26.666561	0.411977	0.000116014	MMT/Hectospec	259.871651	26.666562	21.859	21.646	20.501	20.489	20.859	023.228	01.193	01.286	20.687	21.462
259.872267	26.510742	0.339399	6.07088e-05	MMT/Hectospec	259.872259	26.510743	22.932	21.301	20.360	19.889	19.587	022.629	00.988	01.029	20.572	20.989
259.872408	26.837549	0.487069	0.000117548	MMT/Hectospec	259.872397	26.837550	22.322	21.779	20.448	20.001	19.244	022.796	01.385	01.070	20.654	21.232
259.873238	26.576056	0.158849	0.000116781	MMT/Hectospec	259.873243	26.576055	19.897	18.684	17.999	17.597	17.388	021.688	00.732	02.008	18.179	19.423
259.873267	26.838133	0.312981	0.000162112	MMT/Hectospec	259.873275	26.838134	21.762	20.789	19.945	19.482	19.021	022.659	00.898	01.289	20.113	20.759
259.873438	26.627367	0.436404	5.31702e-05	MMT/Hectospec	259.873438	26.627368	23.223	22.079	20.352	19.720	19.282	022.773	01.775	01.121	20.530	21.269
259.874583	26.522802	0.31657	7.76872e-05	MMT/Hectospec	259.874580	26.522803	23.185	21.796	20.003	19.480	19.040	022.257	01.840	01.024	20.211	20.674
259.877300	26.640808	0.436417	0.000222588	MMT/Hectospec	259.877294	26.640807	22.264	22.124	20.351	19.649	19.225	022.444	01.821	00.971	20.513	21.074
259.878617	26.527128	0.315352	0.000116414	MMT/Hectospec	259.878612	26.527128	22.912	19.899	18.255	17.673	17.349	021.874	01.691	01.908	18.476	19.593
259.879158	26.825056	0.277106	9.25308e-05	MMT/Hectospec	259.879172	26.825056	22.103	21.143	20.307	20.200	19.588	023.138	00.888	01.301	20.572	21.425
259.880592	26.696867	0.373849	8.90284e-05	MMT/Hectospec	259.880594	26.696866	21.354	20.553	19.543	19.119	18.854	022.690	01.059	01.537	19.762	20.751
259.881133	26.813334	0.399903	0.000122718	MMT/Hectospec	259.881126	26.813332	22.049	21.786	20.164	19.396	19.172	022.736	01.674	01.209	20.329	21.116
259.881325	26.370888	0.122231	0.000146435	SDSS	259.881325	26.370888	19.452	18.074	17.314	16.884	16.615	021.406	00.809	02.436	17.478	18.993
259.881392	26.625692	0.4864	0.000138963	MMT/Hectospec	259.881399	26.625692	22.364	21.105	20.293	20.084	19.987	022.254	00.859	00.906	20.473	21.022
259.882320	26.385834	0.175677	0.000185228	Keck/DEIMOS	259.882331	26.386055	23.111	21.231	20.127	19.590	19.270	022.560	01.154	01.142	20.277	20.848
259.882362	26.636158	0.435155	0.000127155	MMT/Hectospec	259.882374	26.636159	24.192	22.621	20.711	20.008	19.410	022.600	01.958	00.877	20.890	21.411
259.883021	26.757975	0.375972	0.000124553	MMT/Hectospec	259.883031	26.757976	21.710	20.682	19.517	19.204	18.744	022.129	01.216	01.181	19.773	20.518
